run,a_lock,blend_width_fraction_W0,residual_factor,100theta_star,offset_from_1.0411,offset_pct,r_drag_Mpc,sigma8,S8,BAO_chi2_12obs,max_abs_deltaC,max_abs_vC,max_abs_deltaphi,max_abs_vphi,passes_S8_le_0p805,passes_BAO_le_15,fields_O_0p05
N0,0.00021,0.67,1.0,1.040917042,-0.0001829579999998998,-0.01757352799922618,149.944,0.780013,0.7981506288184899,13.435522073755715,0.0351215,0.0374498,0.048617,0.066178,True,True,True
F1,0.000205,0.67,1.0,1.0410334111233719,-6.658887662802648e-05,-0.006396011586595751,149.96013529790955,0.7796804772390663,0.7978103739115388,13.405504930480307,0.0351440705061616,0.0373687423008492,0.0486028748549512,0.0661667325208214,True,True,True
F2,0.0002,0.67,1.0,1.0411673484467652,6.734844676525853e-05,0.006468970009154695,149.9791094565034,0.7792809391062795,0.7974015453254502,13.371552104904742,0.0351446101108953,0.0372495502308522,0.0483979486096855,0.0661573054972907,True,True,True
F3,0.000195,0.67,1.0,1.0413016777060677,0.00020167770606782653,0.019371597931794327,149.99805603308974,0.7788635047691088,0.7969744043948461,13.339098786106016,0.0351441584657192,0.0372002992481243,0.0463565213760853,0.0661355086000749,True,True,True
