channel,ell_range,median_ratio,mean_ratio,rms_fractional_scatter_pct
PT,"40–2000, excluding near-zero crossings",1.0115944104628012,1.0227939363597804,7.985675212417455
PE,"40–2000, excluding near-zero crossings",1.024736169967758,1.0239615216788867,7.144711257889269
