ell,TT,EE,BB,TE
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,974.0914518452947,0.028964451469424415,1.6725435431433607e-06,2.478015836818004
3,922.236901810442,0.03743796228523932,3.345512951414527e-06,2.788779562156821
4,872.951769464944,0.03270690834275317,5.576797873340765e-06,2.61984135915702
5,836.112441617871,0.022025399822318565,8.366956651944798e-06,2.235960888476595
6,810.9819646853779,0.012418256913257038,1.1716679100882905e-05,1.8061454954626033
7,794.8822843227856,0.006721765173127185,1.56267811636527e-05,1.4220075880941054
8,785.2333694100705,0.004310396340887444,2.00981986784542e-05,1.1253875821853296
9,780.8326343719832,0.0034529835102652287,2.513198015130434e-05,0.9259994461526376
10,780.1549205717084,0.002959751081953095,3.072927875411664e-05,0.8132644921642298
11,782.0872289561743,0.0025051927411619823,3.689134350847475e-05,0.7700321119769974
12,786.4924866077074,0.002190506614211334,4.361950976910599e-05,0.7770352551062729
13,792.7609020084934,0.002102752188239951,5.091518905995388e-05,0.8148555257451214
14,800.0257645442675,0.0021927744632036085,5.877985843514538e-05,0.8681740415170893
15,808.2081098029713,0.0023750746644539164,6.721504935759655e-05,0.9262913393061475
16,817.5577726339612,0.0026277285652999915,7.622233616062985e-05,0.9849251129360936
17,828.0351194784282,0.00298517054917832,8.580332441210814e-05,1.044291685686147
18,838.451368006699,0.0034843016969643655,9.595963897658454e-05,1.103546557793006
19,850.9638962043279,0.00414488678557644,0.0001066929120349774,1.1683183313337062
20,863.347160427919,0.004945909742526509,0.00011800477130618738,1.2348115546179035
21,876.101842768084,0.005874993345086559,0.00012989682812384492,1.3047855212387036
22,889.3258903551719,0.0069391333764764074,0.00014237066598262783,1.3759991671012597
23,902.6123824316217,0.008136520739384022,0.00015542782943642072,1.4478730548353616
24,916.2591265005149,0.009469114613272996,0.0001690698134206932,1.5195015611718772
25,930.4632409630333,0.0109318432546299,0.00018329805305166327,1.5825556600618929
26,944.7865701754154,0.01252841141139957,0.0001981139135496842,1.6394860485421272
27,959.5595976729356,0.014280028865579495,0.00021351868197449844,1.6903289797779588
28,974.5379281061689,0.01619102712936959,0.00022951355860942064,1.7302450024765896
29,989.7146258005818,0.018279443031308597,0.0002460996497684782,1.7665442404575031
30,1005.3596702255144,0.020563190908892255,0.00026327796162795675,1.7941831875931968
31,1020.8081508341996,0.02303685369966232,0.00028104939389867405,1.8205405668422552
32,1036.7912365082111,0.025720773377817332,0.00029941473610850446,1.8375092417493928
33,1052.781819094108,0.028594225287055623,0.00031837466433279007,1.8470024170547257
34,1068.7973298532631,0.031695669797699944,0.0003379297375580905,1.853821601087884
35,1085.5282862469444,0.035004127826126635,0.00035808039702528617,1.847327338432664
36,1102.143005217153,0.03851857733483599,0.0003788269661981788,1.8354051525118371
