Model,100_theta_star,r_drag_Mpc,z_star,z_drag,D_A_zstar_Mpc_physical,D_M_zstar_Mpc_comoving,sigma8,Omega_m,S8,H0_km_s_Mpc,Omega_b_h2,Omega_c_h2,n_s,A_s,1e9_A_s,tau,max_abs_deltaC,max_abs_deltaphi,age_Gyr,r_star_Mpc,z_eq
Final locked F1,1.0410334111233719,149.96013529790955,1089.6912536838615,1058.5106113769639,12.956791833630977,14131.85952874379,0.7796804772390663,0.314114,0.7978103739115388,67.4,0.022,0.12005025992438226,0.965,2e-09,2.0,0.054,0.0351440705061616,0.0486028748549512,13.97338014755511,147.11737930724473,3395.2357723975792
Matched flat LambdaCDM control,1.0423220218508096,147.50260861643463,1090.3837355920195,1059.074086282418,12.721160230649293,13883.667373590662,0.7945611260957284,0.314114,0.813037042239082,67.4,0.022,0.12005025992438226,0.965,2e-09,2.0,0.054,,,13.801970201243423,144.71252247545138,3395.2357723975792
