ell,PP,PT,PE
5.600000000000000000e+01,1.260331082074192004e-07,6.694407507527582336e-04,-1.063646576124205780e-06
5.700000000000000000e+01,1.254329834722080833e-07,6.573555798270495302e-04,-1.122911028196850309e-06
5.800000000000000000e+01,1.248238073511732636e-07,6.456526643511780513e-04,-1.188365450740601516e-06
5.900000000000000000e+01,1.242064035969184910e-07,6.342904421153640945e-04,-1.242063066381425286e-06
6.000000000000000000e+01,1.235815228429811793e-07,6.232271872114621136e-04,-1.266086793591629316e-06
6.100000000000000000e+01,1.229499627601858587e-07,6.124304215256314195e-04,-1.248831449148877960e-06
6.200000000000000000e+01,1.223123401175029841e-07,6.019025492136099997e-04,-1.203831020461051992e-06
6.300000000000000000e+01,1.216692616100860115e-07,5.916549757810630984e-04,-1.150874996134933830e-06
6.400000000000000000e+01,1.210212493448373687e-07,5.816988555906135077e-04,-1.109721449290180917e-06
6.500000000000000000e+01,1.203689796736028858e-07,5.720458472811977601e-04,-1.100100898755251143e-06
6.600000000000000000e+01,1.197129857078856899e-07,5.626987289375823178e-04,-1.135056887573958774e-06
6.700000000000000000e+01,1.190537472054018077e-07,5.536275370740650209e-04,-1.200989291359890990e-06
6.800000000000000000e+01,1.183916854462912452e-07,5.447934954210298429e-04,-1.277661966119630862e-06
6.900000000000000000e+01,1.177272357294119518e-07,5.361581071070897027e-04,-1.344866290646896783e-06
7.000000000000000000e+01,1.170608335490940131e-07,5.276830732932503033e-04,-1.382419169138596259e-06
7.100000000000000000e+01,1.163929081786784627e-07,5.193411919626601640e-04,-1.376365494378958777e-06
7.200000000000000000e+01,1.157238090412523506e-07,5.111499821392515670e-04,-1.337577199202617793e-06
7.300000000000000000e+01,1.150538658768047185e-07,5.031381675560768485e-04,-1.283113358783540851e-06
7.400000000000000000e+01,1.143834353606701914e-07,4.953343964385712589e-04,-1.230012728458945198e-06
7.500000000000000000e+01,1.137127816137570629e-07,4.877671907300578941e-04,-1.195294993690999061e-06
7.600000000000000000e+01,1.130422828341843884e-07,4.804564132749654468e-04,-1.191540451371110369e-06
7.700000000000000000e+01,1.123722005577090244e-07,4.733864652725752525e-04,-1.213632433644545837e-06
7.800000000000000000e+01,1.117027123843526665e-07,4.665325708282726963e-04,-1.252039505068387625e-06
7.900000000000000000e+01,1.110340879033650039e-07,4.598703819076285955e-04,-1.297241342685047728e-06
8.000000000000000000e+01,1.103665578071208269e-07,4.533752597192882870e-04,-1.339726224926363413e-06
8.100000000000000000e+01,1.097003164033455531e-07,4.470267295237979779e-04,-1.371659850230759913e-06
8.200000000000000000e+01,1.090355770798425021e-07,4.408196686073069526e-04,-1.391884104014605288e-06
8.300000000000000000e+01,1.083725163673446813e-07,4.347528769242222030e-04,-1.400908712524536007e-06
8.400000000000000000e+01,1.077112609932396163e-07,4.288249616799744363e-04,-1.399241927337624822e-06
8.500000000000000000e+01,1.070520638932698039e-07,4.230349946619419788e-04,-1.387392705253728458e-06
8.600000000000000000e+01,1.063950278207235475e-07,4.173809059070152745e-04,-1.366287455432694996e-06
8.700000000000000000e+01,1.057403805374270207e-07,4.118586428214849791e-04,-1.338532449643333222e-06
8.800000000000000000e+01,1.050882754711552206e-07,4.064634637961574322e-04,-1.307151178857778077e-06
8.900000000000000000e+01,1.044389157470947416e-07,4.011905896493576061e-04,-1.275164529619823197e-06
9.000000000000000000e+01,1.037924801293109496e-07,3.960353455642135140e-04,-1.245591378157737911e-06
9.100000000000000000e+01,1.031491122564984661e-07,3.909932125566088312e-04,-1.220883720716209191e-06
9.200000000000000000e+01,1.025088863426966579e-07,3.860606014329533804e-04,-1.201234582683738669e-06
9.300000000000000000e+01,1.018718414643228479e-07,3.812343546828277476e-04,-1.186273353923859664e-06
9.400000000000000000e+01,1.012380527209529398e-07,3.765112729261507556e-04,-1.175629645018482771e-06
9.500000000000000000e+01,1.006075244653928996e-07,3.718879866620978343e-04,-1.168932870368590788e-06
9.600000000000000000e+01,9.998034419434463213e-08,3.673613115726100738e-04,-1.165813335487534704e-06
9.700000000000000000e+01,9.935655243250510491e-08,3.629281098942564471e-04,-1.165901797771594272e-06
9.800000000000000000e+01,9.873619027811117735e-08,3.585851193942847927e-04,-1.168828906892989746e-06
9.900000000000000000e+01,9.811931086386757444e-08,3.543290855865020936e-04,-1.174225599014142191e-06
1.000000000000000000e+02,9.750597900664962189e-08,3.501568848018936581e-04,-1.181723495267488394e-06
1.010000000000000000e+02,9.689623688540546415e-08,3.460653135397053761e-04,-1.190954202724233290e-06
1.020000000000000000e+02,9.629011598794183209e-08,3.420510529354280765e-04,-1.201549150973298716e-06
1.030000000000000000e+02,9.568772695679026055e-08,3.381111521493300161e-04,-1.213141269012841198e-06
1.040000000000000000e+02,9.508907927314404531e-08,3.342422221984762010e-04,-1.225362156732472053e-06
1.050000000000000000e+02,9.449423905779794735e-08,3.304412372511151327e-04,-1.237844904780958528e-06
1.060000000000000000e+02,9.390326146010281538e-08,3.267049385326366252e-04,-1.250221945694719478e-06
1.070000000000000000e+02,9.331620191353386244e-08,3.230301510658344587e-04,-1.262126187587009686e-06
1.080000000000000000e+02,9.273312698695755682e-08,3.194138167353129522e-04,-1.273191169644499521e-06
1.090000000000000000e+02,9.215411405323613569e-08,3.158527650965377580e-04,-1.283050166933061542e-06
1.100000000000000000e+02,9.157917591513468924e-08,3.123437930074534599e-04,-1.291336466896976723e-06
1.110000000000000000e+02,9.100840017725858340e-08,3.088842814291303178e-04,-1.297762643271943740e-06
1.120000000000000000e+02,9.044176305189987659e-08,3.054738554652823871e-04,-1.302357571540880035e-06
1.130000000000000000e+02,8.987926139416551227e-08,3.021126104905922662e-04,-1.305228745640212908e-06
1.140000000000000000e+02,8.932089211960429624e-08,2.988007142937824869e-04,-1.306483892431489297e-06
1.150000000000000000e+02,8.876664180414805104e-08,2.955381945678465638e-04,-1.306230053512659225e-06
1.160000000000000000e+02,8.821651801049619434e-08,2.923252216717875515e-04,-1.304574817607086716e-06
1.170000000000000000e+02,8.767048701052645888e-08,2.891619309250369457e-04,-1.301625554939647644e-06
1.180000000000000000e+02,8.712852609419932813e-08,2.860483571405758032e-04,-1.297489114746866400e-06
1.190000000000000000e+02,8.659067400394274605e-08,2.829847064935660282e-04,-1.292273053418606516e-06
1.200000000000000000e+02,8.605688783196407360e-08,2.799710838705281508e-04,-1.286084410932571465e-06
1.210000000000000000e+02,8.552716581742469730e-08,2.770075960212008853e-04,-1.279030174600251521e-06
1.220000000000000000e+02,8.500152618527678092e-08,2.740944483346188418e-04,-1.271217731067522130e-06
1.230000000000000000e+02,8.447992727559495362e-08,2.712316842307801405e-04,-1.262753664526555125e-06
1.240000000000000000e+02,8.396239737981549469e-08,2.684194464020407591e-04,-1.253744964694722457e-06
1.250000000000000000e+02,8.344890538090671398e-08,2.656579405141816530e-04,-1.244298867339955096e-06
1.260000000000000000e+02,8.293944037946943063e-08,2.629471842352195028e-04,-1.234521681083679631e-06
1.270000000000000000e+02,8.243403044748349435e-08,2.602874153254125674e-04,-1.224520698912973192e-06
1.280000000000000000e+02,8.193264530774716611e-08,2.576787164093635361e-04,-1.214402442317454329e-06
1.290000000000000000e+02,8.143528409550305629e-08,2.551212330600770143e-04,-1.204273685491037913e-06
1.300000000000000000e+02,8.094194598667593395e-08,2.526151112161077543e-04,-1.194241163702642697e-06
1.310000000000000000e+02,8.045261715373854408e-08,2.501601719212529808e-04,-1.184390029958076193e-06
1.320000000000000000e+02,7.996727903388208246e-08,2.477550840008340685e-04,-1.174719938006301568e-06
1.330000000000000000e+02,7.948590951317331162e-08,2.453982503144995671e-04,-1.165209278826045659e-06
1.340000000000000000e+02,7.900849580486483880e-08,2.430880162464918643e-04,-1.155836175130733024e-06
1.350000000000000000e+02,7.853497882650218655e-08,2.408227007764245390e-04,-1.146578627200710634e-06
1.360000000000000000e+02,7.806536460725535169e-08,2.386007383675301755e-04,-1.137415188359718526e-06
1.370000000000000000e+02,7.759961298528713606e-08,2.364205064858577467e-04,-1.128324145020732067e-06
1.380000000000000000e+02,7.713769333537606182e-08,2.342803005506224889e-04,-1.119283395133534143e-06
1.390000000000000000e+02,7.667961132806119494e-08,2.321786114174803238e-04,-1.110271773083560834e-06
1.400000000000000000e+02,7.622531829239933168e-08,2.301137096731674511e-04,-1.101267064267477445e-06
1.410000000000000000e+02,7.577479294636852615e-08,2.280840050174725285e-04,-1.092247721799788515e-06
1.420000000000000000e+02,7.532801404557016984e-08,2.260878802307518455e-04,-1.083192073277192170e-06
1.430000000000000000e+02,7.488496038297122894e-08,2.241237452242625708e-04,-1.074078579249150004e-06
1.440000000000000000e+02,7.444560203602496231e-08,2.221899048241227418e-04,-1.064885199444577686e-06
1.450000000000000000e+02,7.400991802283993172e-08,2.202847971616757339e-04,-1.055590535083413025e-06
1.460000000000000000e+02,7.357790470014300287e-08,2.184067818990487718e-04,-1.046172813958390242e-06
1.470000000000000000e+02,7.314950644596412844e-08,2.165542712975729626e-04,-1.036610518323075296e-06
1.480000000000000000e+02,7.272473689153658069e-08,2.147256266724987801e-04,-1.026881888729576596e-06
1.490000000000000000e+02,7.230353237389841499e-08,2.129192107754911622e-04,-1.016965175264221499e-06
1.500000000000000000e+02,7.188590634259577900e-08,2.111334625121488186e-04,-1.006838994070510025e-06
1.510000000000000000e+02,7.147181996741292385e-08,2.093669423966641513e-04,-9.964863413646381676e-07
1.520000000000000000e+02,7.106123048362603839e-08,2.076191238490570734e-04,-9.859097634036235930e-07
1.530000000000000000e+02,7.065414433001435763e-08,2.058898000953748885e-04,-9.751171250256830574e-07
1.540000000000000000e+02,7.025049282275586636e-08,2.041785933693777034e-04,-9.641154759544857770e-07
1.550000000000000000e+02,6.985028222619723426e-08,2.024853205131607679e-04,-9.529127837589521199e-07
1.560000000000000000e+02,6.945346904662927018e-08,2.008096293873227307e-04,-9.415162138081441327e-07
1.570000000000000000e+02,6.906002644645065765e-08,1.991512644247838044e-04,-9.299333839233253696e-07
1.580000000000000000e+02,6.866991144981255876e-08,1.975098994579523558e-04,-9.181715784872422321e-07
1.590000000000000000e+02,6.828313773826794529e-08,1.958853487881761287e-04,-9.062387325217065446e-07
1.600000000000000000e+02,6.789963019225423155e-08,1.942772173253142897e-04,-8.941418054931698667e-07
1.610000000000000000e+02,6.751937838542358089e-08,1.926852959399705841e-04,-8.818886161329516412e-07
1.620000000000000000e+02,6.714237156211772129e-08,1.911093056751938862e-04,-8.694866553685247404e-07
1.630000000000000000e+02,6.676855146848954867e-08,1.895489005450526408e-04,-8.569431079883772197e-07
1.640000000000000000e+02,6.639790748657201846e-08,1.880038701266660409e-04,-8.442657726592378460e-07
1.650000000000000000e+02,6.603041312335996496e-08,1.864738918026833379e-04,-8.314619367705165341e-07
