Band,ell_min,ell_max,TT_RMS_fractional_residual_pct,TE_RMS_normalized_residual_pct,EE_RMS_fractional_residual_pct,TT_mean_fractional_residual_pct,TE_mean_normalized_residual_pct,EE_mean_fractional_residual_pct
Low,2,29,28.203008108047534,12.031802376234863,6.926356736488863,27.81475843178935,11.805851794493696,-6.705821640592707
Acoustic,30,600,10.41405057890209,8.155660806324676,5.930357148239606,-1.455779107578034,1.321240210414225,0.06783844443684
Damping,601,1500,2.9786232036520777,2.374920940819193,4.233357497917669,0.33419453068391236,0.15597284988403387,2.2733813751342424
High,1501,2500,1.7258813900536119,1.0747891916495211,2.2486878290282695,-0.1625741390274306,-0.08699910005339215,-0.9646600144970547
