L_min,L_max,weighted_locked_over_control,mean_locked_over_control,min_ratio,max_ratio
8,40,1.0170188117252266,1.01781498464546,1.014504426955814,1.0213490437713402
41,84,1.0103933053111784,1.0107861113201428,1.0077114642778837,1.0143166238945367
85,129,1.0052647006397237,1.0054050882064964,1.0036500443536702,1.0075905551107867
130,174,1.0026500104749074,1.0026863392274095,1.002136145682788,1.0035905894891843
175,219,1.0022165862492753,1.0022086826713006,1.0020855578684968,1.002523081188877
220,264,1.0032723072472869,1.0032480621130193,1.0025474276791553,1.0040682460348647
265,309,1.0051119147076466,1.005085305653182,1.0041098945193834,1.0060990679704125
310,354,1.0072061038772615,1.0071822959098873,1.006146207347321,1.0082075586809987
355,400,1.009266124795255,1.00924588500065,1.008253163293587,1.0102062887382541
