Model,chi2_lensing_amplitude,Delta_chi2_vs_control,Aphi_prediction,sigma8_Omega_m_0p25,chi2_combo
Matched LambdaCDM control,0.1543367346938747,0.0,1.0,0.5948385720899442,0.08522231012368861
Locked final F1,0.032766990496441405,-0.1215697441974333,1.0059315366678636,0.5836978665572393,0.0702815476121022
