ell,TT,EE,BB,TE
2.100000000000000000e+01,1.097794318781206584e+03,5.554474030723679893e-03,1.336582724356493303e-04,1.623982081286319712e+00
2.200000000000000000e+01,1.106632002311261886e+03,6.561134334595067515e-03,1.464903976654759491e-04,1.727010578474539093e+00
2.300000000000000000e+01,1.115370138407663262e+03,7.690265834402770784e-03,1.599222358723028953e-04,1.831400458678720033e+00
2.400000000000000000e+01,1.124271053815525647e+03,8.941582781850131514e-03,1.739553190807778559e-04,1.936014350593616706e+00
2.500000000000000000e+01,1.133541259061695200e+03,1.031267563678633925e-02,1.885911257540770166e-04,2.032755862808131475e+00
2.600000000000000000e+01,1.142760964063543042e+03,1.181055736872689207e-02,2.038310711337957876e-04,2.124412966201659536e+00
2.700000000000000000e+01,1.152270038043933482e+03,1.345742289075191334e-02,2.196764994913977080e-04,2.211313366178483175e+00
2.800000000000000000e+01,1.161831054730730102e+03,1.525742738979839544e-02,2.361286759107270733e-04,2.288893527226313562e+00
2.900000000000000000e+01,1.171443360190203748e+03,1.722610859567725444e-02,2.531887795444814860e-04,2.364723169352172860e+00
3.000000000000000000e+01,1.181382611576952058e+03,1.937861074746367526e-02,2.708578978715107553e-04,2.433887545831737942e+00
3.100000000000000000e+01,1.190987846358406841e+03,2.170798541359448067e-02,2.891370207408108361e-04,2.503387116417004066e+00
3.200000000000000000e+01,1.200994584680976459e+03,2.423355747331796053e-02,3.080270370727545854e-04,2.564663836784650375e+00
3.300000000000000000e+01,1.210883411550000574e+03,2.693440348994386932e-02,3.275287319452748424e-04,2.619396452903389516e+00
3.400000000000000000e+01,1.220679975032628136e+03,2.984878032077335416e-02,3.476427832830680212e-04,2.672220599205578750e+00
3.500000000000000000e+01,1.231081761339102968e+03,3.295466806351270150e-02,3.683697615402739935e-04,2.712388841999854083e+00
3.600000000000000000e+01,1.241263249584496862e+03,3.625042450761638974e-02,3.897101299400708365e-04,2.747763580498666869e+00
3.700000000000000000e+01,1.251590812531182337e+03,3.976692484961874552e-02,4.116642446892907555e-04,2.772099509049302135e+00
3.800000000000000000e+01,1.262007961441286625e+03,4.350618168014842857e-02,4.342323573144167689e-04,2.787591782638842997e+00
3.900000000000000000e+01,1.272471921710060315e+03,4.746961918341945086e-02,4.574146173517249251e-04,2.794698520343453563e+00
4.000000000000000000e+01,1.283012060445193583e+03,5.166113256388271679e-02,4.812110787566944146e-04,2.792422208113824134e+00
4.100000000000000000e+01,1.293630876937041876e+03,5.608498553420132593e-02,5.056217009015512515e-04,2.780141090854882258e+00
4.200000000000000000e+01,1.304334820787295030e+03,6.074639732935210867e-02,5.306463567527232436e-04,2.758669497436545992e+00
4.300000000000000000e+01,1.315118330275171502e+03,6.565065855514436166e-02,5.562848392480264229e-04,2.728781529035809950e+00
4.400000000000000000e+01,1.326012986297385623e+03,7.080090510127856618e-02,5.825368700223710217e-04,2.689646796869493706e+00
4.500000000000000000e+01,1.337065227186926450e+03,7.619744959760249570e-02,6.094021050101495465e-04,2.640130383688727100e+00
4.600000000000000000e+01,1.348228456775006862e+03,8.183928700175865933e-02,6.368801452319519402e-04,2.579631208081806015e+00
4.700000000000000000e+01,1.359492498213412546e+03,8.773187982969971044e-02,6.649705458019860432e-04,2.507826342451647594e+00
4.800000000000000000e+01,1.370843280053906255e+03,9.387543592271378745e-02,6.936728258606253243e-04,2.424443852116801246e+00
4.900000000000000000e+01,1.382281587684700753e+03,1.002694198449884944e-01,7.229864782941331468e-04,2.329286119486178475e+00
5.000000000000000000e+01,1.393875061619418830e+03,1.069244382588885461e-01,7.529109832971421414e-04,2.222294470361751095e+00
5.100000000000000000e+01,1.405691976444849615e+03,1.138499430100536614e-01,7.834458149143296111e-04,2.103592401786049226e+00
5.200000000000000000e+01,1.417676861496063566e+03,1.210463108944728194e-01,8.145904550664075355e-04,1.973829945700936728e+00
5.300000000000000000e+01,1.429752594799256940e+03,1.285083069274491896e-01,8.463444039988313097e-04,1.833578866145287645e+00
5.400000000000000000e+01,1.441894052145876913e+03,1.362314386309702863e-01,8.787071915400524293e-04,1.682551795051566046e+00
5.500000000000000000e+01,1.454090965181605725e+03,1.442126988993343850e-01,9.116783881362275528e-04,1.520091759710958668e+00
5.600000000000000000e+01,1.466452400397452493e+03,1.524441820322885444e-01,9.452576156206996200e-04,1.345008821152123391e+00
5.700000000000000000e+01,1.479089352104517957e+03,1.609251308428924498e-01,9.794445564083420312e-04,1.156545947645738037e+00
5.800000000000000000e+01,1.491972156910870808e+03,1.696588036423861690e-01,1.014238966259862693e-03,9.547336027161423821e-01
5.900000000000000000e+01,1.505026579900128581e+03,1.786492014272015316e-01,1.049640682175930883e-03,7.398897530705157433e-01
6.000000000000000000e+01,1.518245239762945857e+03,1.878928967362324676e-01,1.085649631849589956e-03,5.127483778787251811e-01
6.100000000000000000e+01,1.531644694683167472e+03,1.973861984207934961e-01,1.122265842472954141e-03,2.739763763995306523e-01
6.200000000000000000e+01,1.545225840433774920e+03,2.071243608166777050e-01,1.159489448411806910e-03,2.361569531117933829e-02
6.300000000000000000e+01,1.558998655394756042e+03,2.171031175036724492e-01,1.197320698868532688e-03,-2.384627981538493535e-01
6.400000000000000000e+01,1.572958259330613600e+03,2.273174593125967535e-01,1.235759963900249017e-03,-5.123807888171406644e-01
6.500000000000000000e+01,1.587122055082978477e+03,2.377646057180202444e-01,1.274807740890218297e-03,-7.983193701304079903e-01
6.600000000000000000e+01,1.601523174473273002e+03,2.484356655329989227e-01,1.314464657849469123e-03,-1.096530253472054461e+00
6.700000000000000000e+01,1.616153674362384663e+03,2.593240464538174583e-01,1.354731479581452102e-03,-1.406708269977442249e+00
6.800000000000000000e+01,1.630991627147538793e+03,2.704207598049898076e-01,1.395609109686223774e-03,-1.728403449559930083e+00
6.900000000000000000e+01,1.646007674817509496e+03,2.817190457859123365e-01,1.437098593284034899e-03,-2.061195523371641247e+00
7.000000000000000000e+01,1.661187314020529811e+03,2.932128878626286128e-01,1.479201118154854040e-03,-2.404857349071272576e+00
7.100000000000000000e+01,1.676518051739766634e+03,3.048987230153756833e-01,1.521918015338045646e-03,-2.759380523880022196e+00
7.200000000000000000e+01,1.692099439274942597e+03,3.167731440056448800e-01,1.565250759824836965e-03,-3.125460779868339145e+00
7.300000000000000000e+01,1.708025610019290752e+03,3.288314830627322438e-01,1.609200968664137484e-03,-3.503752599610943541e+00
7.400000000000000000e+01,1.724286698638149119e+03,3.410631304241382167e-01,1.653770399639840037e-03,-3.893840779042901268e+00
7.500000000000000000e+01,1.740865409710880385e+03,3.534567342471613416e-01,1.698960948798751815e-03,-4.294975835758338079e+00
7.600000000000000000e+01,1.757704433994015289e+03,3.659991254129718041e-01,1.744774646881592714e-03,-4.706412965432769546e+00
7.700000000000000000e+01,1.774690408872818125e+03,3.786817486587460424e-01,1.791213656149650071e-03,-5.126891239332857175e+00
