ell,PP,PT,PE
5.600000000000000000e+01,1.245765003905151209e-07,6.639342287785628561e-04,-1.103202158255330113e-06
5.700000000000000000e+01,1.240032161090412692e-07,6.521353741073933688e-04,-1.161197552237343300e-06
5.800000000000000000e+01,1.234206136568812003e-07,6.407115193676339408e-04,-1.228035479982198007e-06
5.900000000000000000e+01,1.228295049895632039e-07,6.296212282422134539e-04,-1.284926736791958624e-06
6.000000000000000000e+01,1.222306296478222416e-07,6.188229013253355396e-04,-1.313113426382493580e-06
6.100000000000000000e+01,1.216247743568347375e-07,6.082837530385078965e-04,-1.300165517951877222e-06
6.200000000000000000e+01,1.210125499634690392e-07,5.980041628028008246e-04,-1.258851247287127437e-06
6.300000000000000000e+01,1.203945580433477831e-07,5.879930824710154560e-04,-1.208209960898900855e-06
6.400000000000000000e+01,1.197713163715079913e-07,5.782592168423020566e-04,-1.167250608912233317e-06
6.500000000000000000e+01,1.191434952646018356e-07,5.688117742145534826e-04,-1.154955598194502091e-06
6.600000000000000000e+01,1.185116235680280550e-07,5.596521011798465117e-04,-1.183965707428509334e-06
6.700000000000000000e+01,1.178761786981500720e-07,5.507528528514868621e-04,-1.241656044904173484e-06
6.800000000000000000e+01,1.172375804800316823e-07,5.420788826861070234e-04,-1.309108481894000762e-06
6.900000000000000000e+01,1.165962625453276909e-07,5.335953166557970591e-04,-1.367430655107428504e-06
7.000000000000000000e+01,1.159526586519804993e-07,5.252674728401159629e-04,-1.397754081087685870e-06
7.100000000000000000e+01,1.153071963485956660e-07,5.170710362261592488e-04,-1.387198263290395273e-06
7.200000000000000000e+01,1.146602240980146964e-07,5.090235072911418685e-04,-1.346755029085027276e-06
7.300000000000000000e+01,1.140120708282154928e-07,5.011528655716002232e-04,-1.293365026346132341e-06
7.400000000000000000e+01,1.133630921095308597e-07,4.934870159198301515e-04,-1.243948846091410116e-06
7.500000000000000000e+01,1.127135517341887416e-07,4.860537377986261925e-04,-1.215408251038159057e-06
7.600000000000000000e+01,1.120638269079531658e-07,4.788719266649866775e-04,-1.219922994142002892e-06
7.700000000000000000e+01,1.114141807985420303e-07,4.719241191711101850e-04,-1.250845238297545672e-06
7.800000000000000000e+01,1.107647937197545371e-07,4.651834530751643355e-04,-1.296831225989769959e-06
7.900000000000000000e+01,1.101159371452056418e-07,4.586234944065363441e-04,-1.346550095482963229e-06
8.000000000000000000e+01,1.094678439478561235e-07,4.522175209181041543e-04,-1.388681200885296949e-06
8.100000000000000000e+01,1.088207104441648198e-07,4.459439155884212919e-04,-1.414315861413844412e-06
8.200000000000000000e+01,1.081747501391438035e-07,4.398001753821231688e-04,-1.424153609279073023e-06
8.300000000000000000e+01,1.075301395306363087e-07,4.337886570892428273e-04,-1.421292664951443859e-06
8.400000000000000000e+01,1.068870056672665107e-07,4.279115217575658122e-04,-1.408827444769117975e-06
8.500000000000000000e+01,1.062456008050802148e-07,4.221713907926487775e-04,-1.389850902305272379e-06
8.600000000000000000e+01,1.056060289594570977e-07,4.165689451274827058e-04,-1.367183960584001751e-06
8.700000000000000000e+01,1.049685214506092605e-07,4.110996931952871978e-04,-1.342576914110090749e-06
