bin,L_min,L_max,L_eff,Planck_PP,Planck_error_display,locked_PP,control_PP,locked_minus_data_sigma_diag,control_minus_data_sigma_diag,locked_over_control
1,8,40,28.07,1.4696e-07,1.321e-08,1.3354651400817287e-07,1.3133453126836155e-07,-1.00318130456938,-1.1686132983076911,1.016842354546433
2,41,84,63.57,1.3223e-07,6.808e-09,1.2133493488561127e-07,1.2004600865035647e-07,-1.5512349107316117,-1.7347517004426287,1.010736935361249
3,85,129,106.31,1.0031e-07,5.019e-09,9.374405629443415e-08,9.322589122475051e-08,-1.2722706719942076,-1.3726745516149679,1.0055581669735334
4,130,174,150.55,7.037e-08,4.585e-09,7.167172174925607e-08,7.147400856004013e-08,0.27959593373625646,0.23712925160361448,1.0027662249984182
5,175,219,195.27,5.291e-08,4.565e-09,5.6262837426972934e-08,5.614012161751003e-08,0.7294140612536525,0.702717080290522,1.0021858842825278
6,220,264,240.4,4.206e-08,4.888e-09,4.549269800455992e-08,4.534907857988872e-08,0.700169142489756,0.6708750160378136,1.0031669755851422
7,265,309,285.88,4.296e-08,4.41e-09,3.76901087320676e-08,3.7502425262919126e-08,-1.192506485943235,-1.2349767652876684,1.0050045688467526
8,310,354,331.45,3.936e-08,4.677e-09,3.180862417403272e-08,3.1583495967528295e-08,-1.6125219072081682,-1.6605958176167226,1.0071280331580736
9,355,400,377.28,2.553e-08,4.491e-09,2.717836871702467e-08,2.6930327746623434e-08,0.3666670311754985,0.31149221179948244,1.0092104697995121
