ell,TT_locked,EE_locked,BB_locked,TE_locked,TT_control,EE_control,BB_control,TE_control
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1250.6297474957998,0.02829358341014107,1.7214443677067845e-06,3.0096751424180654,974.0914518452947,0.028964451469424415,1.6725435431433607e-06,2.478015836818004
3.0,1198.885905594323,0.035875796644545425,3.4433118337104575e-06,3.3134997844181404,922.236901810442,0.03743796228523932,3.345512951414527e-06,2.788779562156821
4.0,1145.5092162524788,0.030677505802312384,5.73978996466976e-06,3.066245393256121,872.951769464944,0.03270690834275317,5.576797873340765e-06,2.61984135915702
5.0,1104.6696607763229,0.020196523713812874,8.611433700020148e-06,2.587732831380612,836.112441617871,0.022025399822318565,8.366956651944798e-06,2.235960888476595
6.0,1076.3523461573925,0.011179394346039415,1.2058928844622824e-05,2.0743575551561393,810.9819646853779,0.012418256913257038,1.1716679100882905e-05,1.8061454954626033
7.0,1057.6146134469402,0.006046128733054272,1.608308688987091e-05,1.628042219754415,794.8822843227856,0.006721765173127185,1.56267811636527e-05,1.4220075880941054
8.0,1045.6183482156616,0.003949161430192586,2.0684838972668248e-05,1.2913781365225443,785.2333694100705,0.004310396340887444,2.00981986784542e-05,1.1253875821853296
9.0,1039.1401068694754,0.0031863165090273145,2.586522886581004e-05,1.0701708851413012,780.8326343719832,0.0034529835102652287,2.513198015130434e-05,0.9259994461526376
10.0,1036.3218667872632,0.0027049297372747885,3.162540523219187e-05,0.9486055489832381,780.1549205717084,0.002959751081953095,3.072927875411664e-05,0.8132644921642298
11.0,1035.9782886962569,0.0022734823346012207,3.796661308455798e-05,0.9051990261981954,782.0872289561743,0.0025051927411619823,3.689134350847475e-05,0.7700321119769974
12.0,1038.1325241082402,0.0020006038994699027,4.489018457301512e-05,0.9173563532990439,786.4924866077074,0.002190506614211334,4.361950976910599e-05,0.7770352551062729
13.0,1041.9830351160779,0.0019414514231248208,5.23975291476675e-05,0.963619405364543,792.7609020084934,0.002102752188239951,5.091518905995388e-05,0.8148555257451214
14.0,1046.446013889976,0.0020314524886304794,6.049012327185324e-05,1.0279094127004231,800.0257645442675,0.0021927744632036085,5.877985843514538e-05,0.8681740415170893
15.0,1051.5567029826063,0.002197913797618325,6.916949966986076e-05,1.0994992026249815,808.2081098029713,0.0023750746644539164,6.721504935759655e-05,0.9262913393061475
16.0,1057.7398373235624,0.0024372467444315348,7.843723618069294e-05,1.174636259430327,817.5577726339612,0.0026277285652999915,7.622233616062985e-05,0.9849251129360936
17.0,1064.9596471171335,0.0027874379932356975,8.829494452946546e-05,1.2539048190722448,828.0351194784282,0.00298517054917832,8.580332441210814e-05,1.044291685686147
18.0,1071.6531744566332,0.0032755808310914,9.874425881241296e-05,1.336276109248858,838.451368006699,0.0034843016969643655,9.595963897658454e-05,1.103546557793006
