spectrum,best_fit_locked_over_control_amplitude,post_rescaling_RMS_shape_residual_pct,single_rescaling_description
TT,0.9458524468083797,7.896184423327633,not sufficient
EE,1.023257079907975,4.370608443504279,not sufficient
TE,0.9801827597105577,4.104363214998675,not sufficient
